id,name,common_name
258,Regulus calendula,Ruby-crowned kinglet
259,Regulus ignicapilla,Common firecrest
260,Regulus regulus,Goldcrest
261,Regulus satrapa,Golden-crowned kinglet
262,Tyrannus melancholicus,Tropical kingbird
263,Pelecanus conspicillatus,Australian pelican
264,Aulacorhynchus prasinus,Emerald toucanet
265,Todiramphus sanctus,Sacred kingfisher
266,Icterus bullockii,Bullock's oriole
267,Spiza americana,Dickcissel
268,Tyrannus dominicensis,Gray kingbird
269,Chlidonias niger,Black tern
270,Oriturus superciliosus,Striped sparrow
271,Psarocolius montezuma,Montezuma oropendola
272,Turdus pilaris,Fieldfare
273,Notiomystis cincta,Stitchbird
274,Sagittarius serpentarius,Secretarybird
275,Psittacula krameri,Rose-ringed parakeet
276,Platycercus eximius,Eastern rosella
277,Protonotaria citrea,Prothonotary warbler
278,Megaceryle torquata,Ringed kingfisher
279,Nestor meridionalis,New Zealand kaka
280,Amazona viridigenalis,Red-crowned amazon
281,Amazona albifrons,White-fronted amazon
282,Amazona oratrix,Yellow-headed amazon
283,Saxicola rubetra,Whinchat
284,Ara militaris,Military macaw
285,Spizelloides arborea,American tree sparrow
286,Ceryle rudis,Pied kingfisher
287,Chloroceryle aenea,American pygmy kingfisher
288,Chloroceryle amazona,Amazon kingfisher
289,Myiozetetes similis,Social flycatcher
290,Toxostoma curvirostre,Curve-billed thrasher
291,Megaceryle alcyon,Belted kingfisher
292,Eremophila alpestris,Horned lark
293,Alisterus scapularis,Australian king parrot
294,Cinnyris jugularis,Olive-backed sunbird
295,Xiphorhynchus flavigaster,Ivory-billed woodcreeper
296,Jacana jacana,Wattled jacana
297,Phalaropus fulicarius,Red phalarope
298,Streptopelia turtur,European turtle dove
299,Pica hudsonia,Black-billed magpie
300,Corvus cornix,Hooded crow
301,Myiopsitta monachus,Monk parakeet
302,Streptopelia decaocto,Eurasian collared dove
303,Piranga ludoviciana,Western tanager
304,Ixobrychus exilis,Least bittern
305,Auriparus flaviceps,Verdin
306,Geothlypis tolmiei,MacGillivray's warbler
307,Columba livia,Rock dove
308,Setophaga citrina,Hooded warbler
309,Setophaga cerulea,Cerulean warbler
310,Columba palumbus,Common wood pigeon
311,Piranga bidentata,Flame-colored tanager
312,Patagioenas leucocephala,White-crowned pigeon
313,Patagioenas fasciata,Band-tailed pigeon
314,Patagioenas flavirostris,Red-billed pigeon
315,Setophaga discolor,Prairie warbler
316,Chordeiles minor,Common nighthawk
317,Chordeiles acutipennis,Lesser nighthawk
318,Platalea leucorodia,Eurasian spoonbill
319,Phalaenoptilus nuttallii,Common poorwill
320,Haemorhous mexicanus,House finch
321,Haemorhous purpureus,Purple finch
322,Nyctidromus albicollis,Pauraque
323,Campephilus guatemalensis,Pale-billed woodpecker
324,Toxostoma rufum,Brown thrasher
325,Leptotila verreauxi,White-tipped dove
326,Nyctibius jamaicensis,Northern potoo
327,Anas penelope,Eurasian wigeon
328,Buteo plagiatus,Gray hawk
329,Selasphorus calliope,Calliope hummingbird
330,Megascops kennicottii,Western screech owl
331,Porphyrio poliocephalus,Grey-headed swamphen
332,Megascops asio,Eastern screech owl
333,Zenaida auriculata,Eared dove
334,Hymenolaimus malacorhynchos,Blue duck
335,Setophaga caerulescens,Black-throated blue warbler
336,Camptostoma imberbe,Northern beardless tyrannulet
337,Caracara plancus,Crested caracara
338,Columbina passerina,Common ground dove
339,Eupsittula nana,Olive-throated parakeet
340,Nestor notabilis,Kea
341,Columbina talpacoti,Ruddy ground dove
342,Geopelia striata,Zebra dove
343,Athene noctua,Little owl
344,Crotophaga ani,Smooth-billed ani
345,Sialia sialis,Eastern bluebird
346,Platalea alba,African spoonbill
347,Bubo virginianus,Great horned owl
348,Petrochelidon fulva,Cave swallow
349,Progne subis,Purple martin
350,Setophaga coronata auduboni,Yellow-rumped warbler
351,Hirundo neoxena,Welcome swallow
352,Hirundo rustica,Barn swallow
353,Calidris virgata,Surfbird
354,Calidris pugnax,Ruff (bird)
355,Platalea regia,Royal spoonbill
356,Tachycineta thalassina,Violet-green swallow
357,Bostrychia hagedash,Hadada ibis
358,Riparia riparia,Sand martin
359,Eudocimus albus,American white ibis
360,Plegadis falcinellus,Glossy ibis
361,Plegadis chihi,White-faced ibis
362,Corvus corax,Common raven
363,Stelgidopteryx serripennis,Northern rough-winged swallow
364,Sula dactylatra,Masked booby
365,Sula sula,Red-footed booby
366,Sula leucogaster,Brown booby
367,Morus serrator,Australasian gannet
368,Eudyptula minor,Little penguin
369,Megadyptes antipodes,Yellow-eyed penguin
370,Scopus umbretta,Hamerkop
371,Troglodytes troglodytes,Chimpanzee
372,Calidris canutus,Red knot
373,Lanius collurio,Red-backed shrike
374,Calidris bairdii,Baird's sandpiper
375,Meleagris gallopavo intermedia,Wild turkey
376,Calidris mauri,Western sandpiper
377,Calidris maritima,Purple sandpiper
378,Calidris alpina,Dunlin
379,Calidris ferruginea,Curlew sandpiper
380,Calidris melanotos,Pectoral sandpiper
381,Limnodromus griseus,Short-billed dowitcher
382,Malurus cyaneus,Superb fairywren
383,Tringa nebularia,Common greenshank
384,Todiramphus sanctus vagans,Sacred kingfisher
385,Tringa ochropus,Green sandpiper
386,Tringa glareola,Wood sandpiper
387,Tringa melanoleuca,Greater yellowlegs
388,Tringa flavipes,Lesser yellowlegs
389,Numenius arquata,Eurasian curlew
390,Numenius phaeopus,Eurasian whimbrel
391,Phalacrocorax carbo novaehollandiae,Great cormorant
392,Petroica macrocephala macrocephala,Tomtit
393,Petroica australis longipes,South Island robin
394,Prosthemadera novaeseelandiae novaeseelandiae,Tui (bird)
395,Asio flammeus,Short-eared owl
396,Rhipidura fuliginosa fuliginosa,New Zealand fantail
397,Scolopax minor,American woodcock
398,Arenaria interpres,Ruddy turnstone
399,Arenaria melanocephala,Black turnstone
400,Rhipidura fuliginosa placabilis,New Zealand fantail
401,Limosa limosa,Black-tailed godwit
402,Limosa haemastica,Hudsonian godwit
403,Limosa fedoa,Marbled godwit
404,Phalaropus lobatus,Red-necked phalarope
405,Bartramia longicauda,Upland sandpiper
406,Limosa lapponica,Bar-tailed godwit
407,Aegolius acadicus,Northern saw-whet owl
408,Actitis hypoleucos,Common sandpiper
409,Trichoglossus haematodus,Coconut lorikeet
410,Surnia ulula,Northern hawk-owl
411,Polioptila caerulea,Blue-gray gnatcatcher
412,Spizella passerina,Chipping sparrow
413,Pycnonotus jocosus,Red-whiskered bulbul
414,Passerina cyanea,Indigo bunting
415,Passerina versicolor,Varied bunting
416,Manorina melanocephala,Noisy miner
417,Ocyphaps lophotes,Crested pigeon
418,Jabiru mycteria,Jabiru
419,Pycnonotus cafer,Red-vented bulbul
420,Anser cygnoides domesticus,Domestic goose
421,Picus viridis,European green woodpecker
422,Phoebastria nigripes,Black-footed albatross
423,Struthio camelus,Common ostrich
424,Phoebastria immutabilis,Laysan albatross
425,Fulmarus glacialis,Northern fulmar
426,Francolinus pondicerianus,Grey francolin
427,Cynanthus latirostris,Broad-billed hummingbird
428,Podiceps nigricollis,Black-necked grebe
429,Podiceps cristatus,Great crested grebe
430,Podiceps auritus,Horned grebe
431,Dendrocopos major,Great spotted woodpecker
432,Podiceps grisegena,Red-necked grebe
433,Tachybaptus ruficollis,Little grebe
434,Charadrius montanus,Mountain plover
435,Phalacrocorax auritus,Double-crested cormorant
436,Phalacrocorax carbo,Great cormorant
437,Phalacrocorax penicillatus,Brandt's cormorant
438,Aechmophorus clarkii,Clark's grebe
439,Pelecanus onocrotalus,Great white pelican
440,Pelecanus erythrorhynchos,American white pelican
441,Zenaida macroura,Mourning dove
442,Vanellus miles,Masked lapwing
443,Larus occidentalis,Western gull
444,Trogon massena,Slaty-tailed trogon
445,Larus thayeri,Thayer's gull
446,Larus heermanni,Heermann's gull
447,Larus livens,Yellow-footed gull
448,Larus canus,Common gull
449,Larus glaucoides,Iceland gull
450,Larus delawarensis,Ring-billed gull
451,Trogon collaris,Collared trogon
452,Zenaida asiatica,White-winged dove
453,Larus fuscus,Lesser black-backed gull
454,Larus californicus,California gull
455,Prosthemadera novaeseelandiae,Tui (bird)
456,Trogon elegans,Elegant trogon
457,Larus glaucescens,Glaucous-winged gull
458,Trogon citreolus,Citreoline trogon
459,Cepphus columba,Pigeon guillemot
460,Himantopus leucocephalus,Pied stilt
461,Cepphus grylle,Black guillemot
462,Anthornis melanura,New Zealand bellbird
463,Leptoptilos crumenifer,Marabou stork
464,Threskiornis moluccus,Australian white ibis
465,Thraupis episcopus,Blue-gray tanager
466,Geranoaetus albicaudatus,White-tailed hawk
467,Sterna paradisaea,Arctic tern
468,Sterna hirundo,Common tern
469,Sterna forsteri,Forster's tern
470,Lanius excubitor,Great grey shrike
471,Pharomachrus mocinno,Resplendent quetzal
472,Sterna striata,White-fronted tern
473,Stercorarius parasiticus,Parasitic jaeger
474,Stercorarius pomarinus,Pomarine jaeger
475,Anas gracilis,Grey teal
476,Rissa tridactyla,Black-legged kittiwake
477,Rynchops niger,Black skimmer
478,Alca torda,Razorbill
479,Fratercula arctica,Atlantic puffin
480,Fratercula cirrhata,Tufted puffin
481,Turdus merula,Common blackbird
482,Turdus plumbeus,Red-legged thrush
483,Turdus grayi,Clay-colored thrush
484,Turdus migratorius,American robin
485,Turdus viscivorus,Mistle thrush
486,Cerorhinca monocerata,Rhinoceros auklet
487,Turdus philomelos,Song thrush
488,Galbula ruficauda,Rufous-tailed jacamar
489,Jacana spinosa,Northern jacana
490,Saxicola rubicola,European stonechat
491,Upupa epops,Eurasian hoopoe
492,Euphagus carolinus,Rusty blackbird
493,Gavia pacifica,Pacific loon
494,Mimus gilvus,Tropical mockingbird
495,Passer italiae,Italian sparrow
496,Gavia immer,Common loon
497,Gavia stellata,Red-throated loon
498,Oenanthe oenanthe,Northern wheatear
499,Fregata magnificens,Magnificent frigatebird
500,Fregata minor,Great frigatebird
501,Falco subbuteo,Eurasian hobby
502,Falco mexicanus,Prairie falcon
503,Falco femoralis,Aplomado falcon
504,Falco peregrinus,Peregrine falcon
505,Falco rufigularis,Bat falcon
506,Falco sparverius,American kestrel
507,Strix varia,Barred owl
508,Falco columbarius,Merlin (bird)
509,Gallinula chloropus,Common moorhen
510,Cardellina pusilla,Wilson's warbler
511,Catharus ustulatus,Swainson's thrush
512,Falco novaeseelandiae,New Zealand falcon
513,Catharus guttatus,Hermit thrush
514,Catharus fuscescens,Veery
515,Caracara cheriway,Crested caracara
516,Herpetotheres cachinnans,Laughing falcon
517,Calcarius lapponicus,Lapland longspur
518,Milvago chimachima,Yellow-headed caracara
